WP_011649834.1	SMc02793
WP_011655278.1	SMc04151
WP_011655277.1	SMc04150
WP_011655276.1	SMc04149
WP_011655272.1	SMc04148
WP_011655271.1	SMc04147
WP_011649890.1	SMc04146
WP_041937037.1	SMc04145
WP_011649526.1	SMc04142
WP_011650937.1	SMc04141
WP_011649919.1	SMc04140
WP_173364429.1	SMc04139
WP_011649813.1	SMc04138
WP_011649917.1	SMc04137
WP_011649916.1	SMc04136
WP_011649915.1	SMc04135
WP_011649914.1	SMc04134
WP_011649913.1	SMc04133
WP_011649912.1	SMc04132
WP_011654314.1	SMc04131
WP_011649911.1	SMc04130
WP_028743588.1	SMc04129
WP_011653657.1	SMc04128
WP_041936129.1	SMc04127
WP_011650011.1	SMc04126
WP_011650012.1	SMc04125
WP_003544464.1	SMc04124
WP_011650013.1	SMc04123
WP_011650015.1	SMc04122
WP_003544477.1	SMc04121
WP_011650017.1	SMc04120
WP_011650018.1	SMc04119
WP_011650019.1	SMc04118
WP_011650020.1	SMc04117
WP_011650021.1	SMc04115
WP_003544495.1	SMc04114
WP_011650022.1	SMc04113
WP_011650023.1	SMc04112
WP_032992384.1	SMc04111
WP_011650025.1	SMc04110
WP_003544506.1	SMc04109
WP_011650026.1	SMc02820
WP_003544510.1	SMc02821
WP_011650027.1	SMc02822
WP_011650029.1	SMc02824
WP_011650030.1	SMc02825
WP_011650031.1	SMc02826
WP_011650032.1	SMc02827
WP_011650002.1	SMc02828
WP_011650001.1	SMc02829
WP_011650000.1	SMc02830
WP_011649999.1	SMc02831
WP_011649998.1	SMc02832
WP_011649997.1	SMc02833
WP_011649996.1	SMc02834
WP_011649995.1	SMc02835
WP_011649994.1	SMc02836
WP_011649993.1	SMc02837
WP_011649992.1	SMc02838
WP_024322943.1	SMc02841
WP_011653603.1	SMc02842
WP_011653604.1	SMc02843
WP_028742343.1	SMc02844
WP_011653606.1	SMc02845
WP_003544362.1	SMc02846
WP_011651036.1	SMc02847
WP_011649962.1	SMc02848
WP_011649963.1	SMc02849
WP_032993322.1	SMc02850
WP_003544385.1	SMc02851
WP_041936123.1	SMc02852
WP_011651583.1	SMc02855
WP_011649971.1	SMc02856
WP_011649970.1	SMc02857
WP_011649969.1	SMc02858
WP_011654370.1	SMc02861
WP_011654369.1	SMc02862
WP_011649966.1	SMc02863
WP_011649965.1	SMc02864
WP_011649964.1	SMc02865
WP_011652203.1	SMc02867
WP_173364441.1	SMc02868
WP_011652843.1	SMc02869
WP_011652844.1	SMc02870
WP_011652845.1	SMc02871
WP_011652846.1	SMc02872
WP_011652847.1	SMc02873
WP_011652848.1	SMc02875
WP_011652849.1	SMc02876
WP_011653955.1	SMc02877
WP_011653954.1	SMc02878
WP_011650304.1	SMc02879
WP_041936476.1	SMc02880
WP_011655163.1	SMc02881
WP_011653607.1	SMc02882
WP_011649924.1	SMc02883
WP_011650009.1	SMc02884
WP_011650008.1	SMc02886
WP_011652046.1	SMc02892
WP_011652047.1	SMc02893
WP_028742887.1	SMc02894
WP_011649961.1	SMc02895
WP_012758181.1	SMc02896
WP_011649960.1	SMc02897
WP_011649959.1	SMc02898
WP_003544355.1	SMc02899
WP_003555800.1	SMc02901
WP_011649958.1	SMc02902
WP_011649957.1	SMc02903
WP_028743610.1	SMc02904
WP_011649955.1	SMc02905
WP_011649954.1	SMc02906
WP_011649952.1	SMc02908
WP_028743607.1	SMc02909
WP_011649949.1	SMc02910
WP_003544329.1	SMc02911
WP_011649948.1	SMc02912
WP_011649947.1	SMc02913
WP_011649946.1	SMc02914
WP_003544322.1	SMc00320
WP_011649945.1	SMc00321
WP_011653539.1	SMc00322
WP_003544317.1	SMc00323
WP_011649943.1	SMc00324
WP_011649942.1	SMc00325
WP_011649941.1	SMc00326
WP_012759646.1	SMc00327
WP_011649939.1	SMc00328
WP_041936121.1	SMc00329
WP_011649937.1	SMc00330
WP_011649935.1	SMc00331
WP_011649932.1	SMc00332
WP_011649931.1	SMc00333
WP_011649930.1	SMc00334
WP_003544285.1	SMc00335
WP_032993230.1	SMc00337
WP_011650948.1	SMc00339
WP_041936792.1	SMc00340
WP_011649928.1	SMc00342
WP_017966569.1	SMc00345
WP_011650062.1	SMc00349
WP_041936137.1	SMc00351
WP_011650065.1	SMc00352
WP_011653617.1	SMc00353
WP_011652764.1	SMc00354
WP_011653950.1	SMc00355
WP_011653951.1	SMc00356
WP_011653952.1	SMc00357
WP_011650070.1	SMc00359
WP_011650071.1	SMc00360
WP_011650072.1	SMc00361
WP_075225634.1	SMc00362
WP_003544621.1	SMc00363
WP_003544622.1	SMc00364
WP_011650074.1	SMc00365
WP_011650075.1	SMc00366
WP_003544625.1	SMc00367
WP_011650076.1	SMc00368
WP_011650077.1	SMc00370
WP_011650078.1	SMc00371
WP_011652259.1	SMc00372
WP_032992380.1	SMc00373
WP_028740598.1	SMc00374
WP_011650082.1	SMc00375
WP_011652354.1	SMc00377
WP_011650086.1	SMc00378
WP_011650087.1	SMc00379
WP_011650088.1	SMc00380
WP_011650089.1	SMc00381
WP_011650090.1	SMc00382
WP_041936138.1	SMc00383
WP_011650092.1	SMc00384
WP_011650093.1	SMc00385
WP_011650094.1	SMc00386
WP_011654119.1	SMc00387
WP_011650095.1	SMc00388
WP_003546085.1	SMc00392
WP_011650119.1	SMc00394
WP_011650120.1	SMc00395
WP_003544704.1	SMc00396
WP_011650123.1	SMc00460
WP_041936139.1	SMc00400
WP_011650125.1	SMc00401
WP_011650126.1	SMc00402
WP_011650127.1	SMc00403
WP_011650128.1	SMc00404
WP_011650129.1	SMc00405
WP_011650130.1	SMc00406
WP_011650131.1	SMc00407
WP_011650132.1	SMc00408
WP_011650133.1	SMc00410
WP_003544731.1	SMc00411
WP_011650134.1	SMc00412
WP_011650135.1	SMc00413
WP_003555979.1	SMc00414
WP_011650136.1	SMc00415
WP_011650137.1	SMc00416
WP_011650138.1	SMc00418
WP_011650140.1	SMc00419
WP_011650141.1	SMc00420
WP_011650142.1	SMc00421
WP_011650143.1	SMc00422
WP_011652178.1	SMc00423
WP_011650144.1	SMc00424
WP_011650145.1	SMc00425
WP_011650147.1	SMc00461
WP_011650148.1	SMc00427
WP_011652879.1	SMc00428
WP_011652880.1	SMc00429
WP_032992877.1	SMc00430
WP_011650153.1	SMc00431
WP_003558056.1	SMc00432
WP_026158607.1	SMc00433
WP_041936237.1	SMc01166
WP_011651190.1	SMc01165
WP_011651191.1	SMc01164
WP_011651192.1	SMc01163
WP_028740553.1	SMc01162
WP_011650159.1	SMc01161
WP_011654814.1	SMc01160
WP_011654815.1	SMc01159
WP_086935554.1	SMc01158
WP_011648911.1	SMc01157
WP_011650172.1	SMc01156
WP_011650173.1	SMc01155
WP_011650174.1	SMc01154
WP_011650175.1	SMc01153
WP_003544819.1	SMc01152
WP_028740542.1	SMc01167
WP_011653034.1	SMc01151
WP_011653033.1	SMc01150
WP_011653032.1	SMc01149
WP_011654037.1	SMc01148
WP_011650178.1	SMc01147
WP_011650179.1	SMc01146
WP_011650180.1	SMc01145
WP_011650181.1	SMc01144
WP_011650182.1	SMc01143
WP_011650183.1	SMc01142
WP_011650215.1	SMc01141
WP_011650214.1	SMc01140
WP_011650212.1	SMc01139
WP_003556077.1	SMc01138
WP_011650210.1	SMc01137
WP_011650209.1	SMc01136
WP_028740526.1	SMc01135
WP_003544934.1	SMc01134
WP_003544923.1	SMc01133
WP_011650206.1	SMc01132
WP_011650204.1	SMc01131
WP_028740529.1	SMc01130
WP_011650202.1	SMc01129
WP_028740530.1	SMc01128
WP_011650200.1	SMc01127
WP_003544898.1	SMc01126
WP_011650199.1	SMc01125
WP_011650198.1	SMc01124
WP_011650197.1	SMc01123
WP_041936143.1	SMc01122
WP_011650195.1	SMc01121
WP_003544884.1	SMc01120
WP_011650194.1	SMc01119
WP_011650193.1	SMc01118
WP_003556053.1	SMc01117
WP_011650192.1	SMc01116
WP_011650191.1	SMc01115
WP_003544862.1	SMc01114
WP_011650190.1	SMc01113
WP_011650189.1	SMc01112
WP_028740536.1	SMc01111
WP_003544853.1	SMc01110
WP_003544852.1	SMc01109
WP_011650187.1	SMc01108
WP_003544838.1	SMc01107
WP_003544836.1	SMc01106
WP_011650184.1	SMc01105
WP_028740524.1	SMc01104
WP_011650217.1	SMc01103
WP_011650218.1	SMc01102
WP_011650220.1	SMc01101
WP_041936144.1	SMc01100
WP_011650224.1	SMc01099
WP_011650225.1	SMc01097
WP_011650226.1	SMc01096
WP_011653216.1	SMc01095
WP_011653217.1	SMc01094
WP_028743277.1	SMc01093
WP_011653219.1	SMc01092
WP_011652064.1	SMc01090
WP_011650227.1	SMc01732
WP_003544970.1	SMc01731
WP_011650229.1	SMc01730
WP_011650231.1	SMc01728
WP_011650232.1	SMc01727
WP_011650234.1	SMc01726
WP_041936146.1	SMc01725
WP_011653660.1	SMc01724
WP_011650240.1	SMc01722
WP_041936148.1	SMc01721
WP_020048241.1	SMc01720
WP_003545006.1	SMc04434
WP_011650243.1	SMc01719
WP_041936149.1	SMc01716
WP_011650786.1	SMc01715
WP_011650785.1	SMc01714
WP_011650233.1	SMc01712
WP_193784111.1	SMc01704
WP_011655161.1	SMc01703
WP_011651364.1	SMc01702
WP_041937015.1	SMc02181
WP_011649660.1	SMc02180
WP_011655110.1	SMc02179
WP_011650625.1	SMc02174
WP_011650277.1	SMc02173
WP_011650278.1	SMc02172
WP_011650279.1	SMc02171
WP_028740485.1	SMc02170
WP_011650281.1	SMc02169
WP_011650282.1	SMc02167
WP_011650283.1	SMc02166
WP_011650291.1	SMc02165
WP_011650292.1	SMc02164
WP_028740477.1	SMc02163
WP_011650295.1	SMc02162
WP_011651162.1	SMc02161
WP_003539854.1	SMc02160
WP_032993262.1	SMc02159
WP_011649720.1	SMc02158
WP_011649719.1	SMc02157
WP_122330888.1	SMc02202
WP_011649322.1	SMc02184
WP_011650327.1	SMc02150
WP_011650328.1	SMc02149
WP_011650329.1	SMc02148
WP_011650330.1	SMc02147
WP_011650332.1	SMc02146
WP_011650333.1	SMc02144
WP_011650334.1	SMc02143
WP_003545178.1	SMc02142
WP_011650335.1	SMc02141
WP_003545181.1	SMc02140
WP_011650336.1	SMc02139
WP_028740449.1	SMc02138
WP_011650338.1	SMc02137
WP_011650339.1	SMc02136
WP_024321046.1	SMc02135
WP_011650342.1	SMc02217
WP_011650343.1	SMc02218
WP_011650352.1	SMc02219
WP_011653070.1	SMc02220
WP_003545221.1	SMc02221
WP_011650353.1	SMc02222
WP_011650354.1	SMc02223
WP_011652918.1	SMc02224
WP_028741050.1	SMc02225
WP_011652292.1	SMc02226
WP_011650377.1	SMc02227
WP_011650375.1	SMc02228
WP_011650374.1	SMc02229
WP_011650371.1	SMc02230
WP_003545257.1	SMc02232
WP_028740400.1	SMc02234
WP_003543721.1	SMc02235
WP_041936162.1	SMc02236
WP_011650367.1	SMc02237
WP_003545245.1	SMc02238
WP_011650365.1	SMc02239
WP_041936161.1	SMc02240
WP_011650362.1	SMc02241
WP_024321021.1	SMc02242
WP_011650360.1	SMc02243
WP_011650359.1	SMc02244
WP_011650358.1	SMc02245
WP_028740405.1	SMc02246
WP_011650356.1	SMc02247
WP_011650355.1	SMc02248
WP_011650383.1	SMc02249
WP_011650384.1	SMc02250
WP_011650385.1	SMc02251
WP_028740389.1	SMc02252
WP_011649795.1	SMc02254
WP_011649794.1	SMc02255
WP_011654259.1	SMc02256
WP_011654436.1	SMc02257
WP_011654435.1	SMc02258
WP_028743094.1	SMc02259
WP_028743095.1	SMc02260
WP_011650454.1	SMc02265
WP_003544544.1	SMc02266
WP_011653231.1	SMc02267
WP_049778393.1	SMc02274
WP_041936394.1	SMc02275
WP_011650004.1	SMc02276
WP_011651094.1	SMc02277
WP_173364440.1	SMc02279
WP_011652003.1	SMc02281
WP_011654577.1	SMc02287
WP_011654853.1	SMc02292
WP_011654851.1	SMc02295
WP_011654850.1	SMc02296
WP_025393091.1	SMc02304
WP_011650394.1	SMc02305
WP_003545314.1	SMc02306
WP_011650396.1	SMc02307
WP_011650397.1	SMc02308
WP_011650398.1	SMc02309
WP_003545338.1	SMc02310
WP_003545339.1	SMc02311
WP_011650399.1	SMc02312
WP_011649000.1	SMc04432
WP_003546591.1	SMc02317
WP_011649787.1	SMc02318
WP_003539329.1	SMc02320
WP_011655154.1	SMc02321
WP_011655153.1	SMc02322
WP_011655152.1	SMc02323
WP_018448549.1	SMc02324
WP_041936920.1	SMc02325
WP_011655149.1	SMc03000
WP_011655148.1	SMc03001
WP_003547822.1	SMc03002
WP_011655147.1	SMc03003
WP_041936171.1	SMc03004
WP_003545491.1	SMc03005
WP_003545492.1	SMc03006
WP_011650460.1	SMc03007
WP_003545496.1	SMc03008
WP_011650461.1	SMc03009
WP_011650462.1	SMc03010
WP_003545503.1	SMc03011
WP_003545509.1	SMc03012
WP_003545510.1	SMc03013
WP_011650463.1	SMc03014
WP_041936172.1	SMc03015
WP_011650465.1	SMc03016
WP_011650466.1	SMc03017
WP_028740339.1	SMc03018
WP_003545520.1	SMc03019
WP_011650469.1	SMc03020
WP_003545522.1	SMc03021
WP_011650470.1	SMc03022
WP_011650471.1	SMc03024
WP_011650472.1	SMc03025
WP_011650473.1	SMc03026
WP_003545529.1	SMc03027
WP_003545531.1	SMc03028
WP_028743724.1	SMc03029
WP_003545534.1	SMc03030
WP_003545535.1	SMc03031
WP_011650475.1	SMc03032
WP_011650476.1	SMc03033
WP_011650477.1	SMc03034
WP_011650478.1	SMc03035
WP_003556541.1	SMc03036
WP_011655251.1	SMc03040
WP_011650482.1	SMc03041
WP_011650483.1	SMc03042
WP_011650484.1	SMc03043
WP_011650485.1	SMc03044
WP_003545557.1	SMc03045
WP_003545558.1	SMc03046
WP_003545559.1	SMc03047
WP_011650487.1	SMc03048
WP_011650488.1	SMc03049
WP_003545562.1	SMc03050
WP_011650489.1	SMc03051
WP_011650490.1	SMc03052
WP_009992823.1	SMc03053
WP_011650491.1	SMc03054
WP_003545568.1	SMc03055
WP_003545570.1	SMc03056
WP_011650492.1	SMc03071
WP_003545575.1	SMc03072
WP_011650494.1	SMc03057
WP_011650497.1	SMc03059
WP_011650498.1	SMc03060
WP_011650499.1	SMc03061
WP_011650500.1	SMc03062
WP_011650501.1	SMc03063
WP_011650502.1	SMc03064
WP_011650503.1	SMc03065
WP_008523602.1	SMc03066
WP_011650505.1	SMc03068
WP_011650506.1	SMc03069
WP_011650507.1	SMc03070
WP_011650508.1	SMc00761
WP_011650509.1	SMc00762
WP_041936175.1	SMc00763
WP_011650511.1	SMc00765
WP_011650513.1	SMc00766
WP_011650514.1	SMc00767
WP_011650515.1	SMc00768
WP_011650516.1	SMc00769
WP_011650517.1	SMc00770
WP_011650518.1	SMc00771
WP_011650519.1	SMc00772
WP_011650520.1	SMc00773
WP_011650521.1	SMc00838
WP_011650522.1	SMc00774
WP_011650523.1	SMc00776
WP_003545621.1	SMc00777
WP_041936531.1	SMc00778
WP_011650527.1	SMc00780
WP_011650529.1	SMc00781
WP_011653937.1	SMc00784
WP_003545647.1	SMc00785
WP_003545648.1	SMc00786
WP_003545649.1	SMc00787
WP_003545650.1	SMc00788
WP_041936176.1	SMc00789
WP_011650531.1	SMc00790
WP_003541466.1	SMc00791
WP_011651073.1	SMc00793
WP_011653968.1	SMc00795
WP_003549551.1	SMc00796
WP_011650533.1	SMc00797
WP_011653506.1	SMc00799
WP_011652633.1	SMc00803
WP_011652632.1	SMc00804
WP_011652631.1	SMc00805
WP_011652688.1	SMc00808
WP_011650590.1	SMc00810
WP_003545710.1	SMc00811
WP_011650591.1	SMc00812
WP_011650592.1	SMc00813
WP_041936530.1	SMc00814
WP_011650594.1	SMc00815
WP_011650596.1	SMc00816
WP_011655219.1	SMc00817
WP_011649133.1	SMc00818
WP_011650598.1	SMc00820
WP_003545730.1	SMc00821
WP_011650599.1	SMc00824
WP_011650601.1	SMc00825
WP_011650602.1	SMc00826
WP_011650603.1	SMc00827
WP_011650604.1	SMc00828
WP_011649438.1	SMc00830
WP_028743750.1	SMc00831
WP_011650610.1	SMc00832
WP_011650611.1	SMc00833
WP_011650612.1	SMc00926
WP_011650615.1	SMc00925
WP_003545770.1	SMc00924
WP_011650617.1	SMc00923
WP_028743745.1	SMc00921
WP_011650627.1	SMc00931
WP_011650622.1	SMc00919
WP_011650623.1	SMc00918
WP_011650624.1	SMc00917
WP_011650626.1	SMc00916
WP_011651193.1	SMc00914
WP_003545786.1	SMc00913
WP_003545797.1	SMc00912
WP_011652689.1	SMc00911
WP_011650628.1	SMc00910
WP_011650629.1	SMc00909
WP_011650632.1	SMc00908
WP_041936179.1	SMc00907
WP_041936180.1	SMc00905
WP_011650635.1	SMc00904
WP_011650636.1	SMc00902
WP_011650637.1	SMc00930
WP_011654074.1	SMc00900
WP_003555240.1	SMc00899
WP_011650641.1	SMc00898
WP_011650642.1	SMc00897
WP_011650643.1	SMc00896
WP_028743728.1	SMc00895
WP_003545821.1	SMc00894
WP_011650645.1	SMc00893
WP_011650646.1	SMc00892
WP_003545832.1	SMc00933
WP_011650652.1	SMc00932
WP_011650653.1	SMc00888
WP_011650654.1	SMc00887
WP_032993479.1	SMc00929
WP_011650655.1	SMc00885
WP_011650656.1	SMc00883
WP_011650657.1	SMc00882
WP_011650658.1	SMc00881
WP_173364452.1	SMc00880
WP_011650660.1	SMc00879
WP_032982822.1	SMc00878
WP_011650662.1	SMc00876
WP_011650663.1	SMc00874
WP_011650664.1	SMc00873
WP_011650665.1	SMc00928
WP_011650666.1	SMc00872
WP_011650667.1	SMc00871
WP_003545854.1	SMc00870
WP_011650668.1	SMc00869
WP_011650669.1	SMc00868
WP_011650671.1	SMc00867
WP_011650672.1	SMc00866
WP_011650673.1	SMc00865
WP_011650675.1	SMc00863
WP_011650676.1	SMc00862
WP_011650677.1	SMc00861
WP_003545868.1	SMc00860
WP_003545870.1	SMc00859
WP_011650679.1	SMc00858
WP_011650681.1	SMc00857
WP_003545875.1	SMc00856
WP_011650682.1	SMc00855
WP_041936395.1	SMc00854
WP_011650683.1	SMc00853
WP_011650685.1	SMc00852
WP_011650690.1	SMc00851
WP_011650689.1	SMc00850
WP_028742737.1	SMc00849
WP_011650686.1	SMc00993
WP_041936806.1	SMc00990
WP_011650694.1	SMc00989
WP_011650695.1	SMc00988
WP_003545897.1	SMc00987
WP_011648862.1	SMc00986
WP_011650697.1	SMc00985
WP_011650698.1	SMc00984
WP_011650699.1	SMc00983
WP_028742745.1	SMc00982
WP_028742746.1	SMc00978
WP_011650703.1	SMc00977
WP_011650704.1	SMc00976
WP_011650351.1	SMc00975
WP_011650707.1	SMc00974
WP_028742750.1	SMc00973
WP_011650711.1	SMc00972
WP_011650712.1	SMc00971
WP_003545921.1	SMc00970
WP_011650715.1	SMc00969
WP_041936998.1	SMc00968
WP_028742755.1	SMc00967
WP_011649141.1	SMc00966
WP_041936999.1	SMc00965
WP_041936533.1	SMc00964
WP_011650740.1	SMc00963
WP_028742772.1	SMc00962
WP_011650742.1	SMc00961
WP_003545985.1	SMc00960
WP_041936189.1	SMc00068
WP_041936188.1	SMc00001
WP_011650750.1	SMc00069
WP_011650749.1	SMc00002
WP_173364433.1	SMc00003
WP_003545976.1	SMc00005
WP_011650747.1	SMc00006
WP_003569889.1	SMc00070
WP_011650744.1	SMc00007
WP_011650743.1	SMc00008
WP_011650755.1	SMc00071
WP_032993056.1	SMc00009
WP_011650757.1	SMc00010
WP_011650758.1	SMc00450
WP_011650759.1	SMc00130
WP_011650760.1	SMc00012
WP_003545992.1	SMc00013
WP_011650762.1	SMc00014
WP_011650763.1	SMc00085
WP_011650764.1	SMc00016
WP_011650765.1	SMc00017
WP_011650766.1	SMc00018
WP_011650769.1	SMc00072
WP_041936190.1	SMc00073
WP_003546002.1	SMc00019
WP_011650791.1	SMc00074
WP_028742806.1	SMc00075
WP_011650793.1	SMc00451
WP_011650794.1	SMc00077
WP_011650795.1	SMc00020
WP_011653012.1	SMc00078
WP_011650796.1	SMc00079
WP_011650804.1	SMc00080
WP_011650807.1	SMc00021
WP_011650809.1	SMc00081
WP_011650810.1	SMc00452
WP_011650811.1	SMc00022
WP_041936196.1	SMc00023
WP_011650815.1	SMc00024
WP_011650817.1	SMc00025
WP_011650818.1	SMc00083
WP_011650820.1	SMc00084
WP_011650821.1	SMc00026
WP_011650824.1	SMc00087
WP_011650839.1	SMc00088
WP_011650401.1	SMc00089
WP_011650984.1	SMc00090
WP_003546395.1	SMc00091
WP_011650985.1	SMc00092
WP_032992592.1	SMc00030
WP_011650988.1	SMc00031
WP_011650991.1	SMc00093
WP_011650992.1	SMc00094
WP_011655165.1	SMc00127
WP_041936227.1	SMc00095
WP_011650994.1	SMc00032
WP_011650995.1	SMc00033
WP_011650996.1	SMc00034
WP_011651000.1	SMc00035
WP_011651003.1	SMc00036
WP_011651006.1	SMc00037
WP_011651007.1	SMc00097
WP_011651009.1	SMc00038
WP_011651018.1	SMc00098
WP_003546481.1	SMc00040
WP_020050017.1	SMc00099
WP_011651027.1	SMc00100
WP_003546502.1	SMc00041
WP_011648902.1	SMc00101
WP_028741567.1	SMc00225
WP_011651040.1	SMc00105
WP_011651041.1	SMc00042
WP_003546549.1	SMc00043
WP_011651056.1	SMc00107
WP_011651057.1	SMc00044
WP_011651058.1	SMc00045
WP_011651059.1	SMc00086
WP_012756624.1	SMc00108
WP_011653658.1	SMc00109
WP_011651063.1	SMc00047
WP_011651065.1	SMc00110
WP_011651066.1	SMc00453
WP_011651069.1	SMc00112
WP_011651070.1	SMc00114
WP_011651074.1	SMc00115
WP_003546608.1	SMc00048
WP_041936320.1	SMc00049
WP_028741543.1	SMc00455
WP_003546617.1	SMc00117
WP_011651079.1	SMc00051
WP_003546620.1	SMc00052
WP_032985038.1	SMc00053
WP_011651081.1	SMc00054
WP_011651082.1	SMc00055
WP_011651083.1	SMc00056
WP_011651084.1	SMc00057
WP_003546634.1	SMc00058
WP_028741538.1	SMc00118
WP_011651086.1	SMc00456
WP_029875298.1	SMc00059
WP_011651088.1	SMc00060
WP_011651092.1	SMc00061
WP_011651093.1	SMc00120
WP_011652051.1	SMc00063
WP_011651096.1	SMc00128
WP_011651097.1	SMc00457
WP_041936233.1	SMc00122
WP_011651099.1	SMc00064
WP_011651004.1	SMc00123
WP_011651133.1	SMc00065
WP_011651134.1	SMc00458
WP_003546769.1	SMc00129
WP_011651135.1	SMc00067
WP_041936235.1	SMc02361
WP_011651137.1	SMc02362
WP_011651138.1	SMc02363
WP_011651139.1	SMc02364
WP_011651140.1	SMc02365
WP_113547142.1	SMc02366
WP_011651141.1	SMc02367
WP_011651142.1	SMc02368
WP_011651144.1	SMc02369
WP_011651145.1	SMc02370
WP_003546796.1	SMc02371
WP_165422410.1	SMc02373
WP_003546802.1	SMc02374
WP_011651149.1	SMc02375
WP_011651150.1	SMc02376
WP_011651155.1	SMc02377
WP_011649277.1	SMc02379
WP_011651160.1	SMc02380
WP_011651161.1	SMc02381
WP_011651163.1	SMc02382
WP_011651167.1	SMc02383
WP_003546851.1	SMc02384
WP_011651169.1	SMc02385
WP_011651175.1	SMc02386
WP_011651220.1	SMc02387
WP_028741487.1	SMc02389
WP_011651621.1	SMc02390
WP_011651176.1	SMc02391
WP_011651177.1	SMc02392
WP_011651179.1	SMc02393
WP_011654619.1	SMc02461
WP_041936519.1	SMc02397
WP_011652306.1	SMc02400
WP_011652487.1	SMc02401
WP_041936238.1	SMc02403
WP_011651197.1	SMc02404
WP_003546925.1	SMc02405
WP_041936539.1	SMc02406
WP_003558079.1	SMc02407
WP_003546928.1	SMc02408
WP_003546931.1	SMc02659
WP_011653415.1	SMc02658
WP_011653416.1	SMc02657
WP_003558084.1	SMc02656
WP_011651199.1	SMc02655
WP_011651200.1	SMc02654
WP_011651201.1	SMc02653
WP_011651202.1	SMc02652
WP_011651203.1	SMc02651
WP_011652410.1	SMc02650
WP_011652409.1	SMc02649
WP_011652408.1	SMc02648
WP_011651010.1	SMc02646
WP_011650692.1	SMc02645
WP_011650691.1	SMc02644
WP_011650674.1	SMc02642
WP_011653130.1	SMc02641
WP_011653139.1	SMc02640
WP_011653427.1	SMc02639
WP_011653426.1	SMc02638
WP_011651156.1	SMc02636
WP_011651206.1	SMc02635
WP_011651209.1	SMc02632
WP_011651208.1	SMc02631
WP_011653697.1	SMc02603
WP_011655341.1	SMc02601
WP_011655340.1	SMc02599
WP_173364461.1	SMc02598
WP_011651212.1	SMc02597
WP_011649686.1	SMc02661
WP_011655342.1	SMc02565
WP_011651214.1	SMc02561
WP_011651215.1	SMc02559
WP_011651216.1	SMc02558
WP_028741467.1	SMc02557
WP_003546972.1	SMc02556
WP_011651218.1	SMc02555
WP_011651219.1	SMc02554
WP_011651221.1	SMc02553
WP_003546983.1	SMc02552
WP_011651233.1	SMc02551
WP_011651232.1	SMc02550
WP_011651230.1	SMc02549
WP_011651231.1	SMc02548
WP_011651229.1	SMc02547
WP_011651228.1	SMc02546
WP_028741464.1	SMc02545
WP_003558142.1	SMc02544
WP_011651225.1	SMc02543
WP_011651224.1	SMc00550
WP_011651223.1	SMc00551
WP_003558134.1	SMc00552
WP_011651235.1	SMc00553
WP_003547013.1	SMc00554
WP_011651236.1	SMc00555
WP_041936240.1	SMc00556
WP_011651239.1	SMc00557
WP_011652763.1	SMc00558
WP_025393962.1	SMc00561
WP_011651241.1	SMc00565
