Name,Sequence Name,Type,Minimum,Maximum,Length,Direction,locus_tag,old_locus_tag
WP_010974980.1,NC_003078.1,CDS,22570,22917,348,forward,SM_RS17400,SM_b20057
SM_RS17405,NC_003078.1,gene,<22917,>23182,>266,forward,SM_RS17405,SM_b20058
WP_010974981.1,NC_003078.1,CDS,<22917,>23182,>266,forward,SM_RS17405,SM_b20058
SM_RS17410,NC_003078.1,gene,<23185,>23443,>259,forward,SM_RS17410,SM_b20059
WP_010974982.1,NC_003078.1,CDS,<23185,>23443,>259,forward,SM_RS17410,SM_b20059
SM_RS17415,NC_003078.1,gene,23475,23873,399,forward,SM_RS17415,SM_b20060
WP_010974983.1,NC_003078.1,CDS,23475,23873,399,forward,SM_RS17415,SM_b20060
SM_RS31345,NC_003078.1,gene,24087,24138,52,forward,SM_RS31345,SM_b20061
WP_010974985.1,NC_003078.1,CDS,24087,24138,52,forward,SM_RS31345,SM_b20061
SM_RS17425,NC_003078.1,gene,<24174,>24255,>82,forward,SM_RS17425,SM_b20062
WP_003527850.1,NC_003078.1,CDS,<24174,>24255,>82,forward,SM_RS17425,SM_b20062
SM_RS17430,NC_003078.1,gene,<24253,>24350,>98,forward,SM_RS17430,SM_b20063
WP_010974986.1,NC_003078.1,CDS,<24253,>24350,>98,forward,SM_RS17430,SM_b20063
SM_RS17440,NC_003078.1,gene,24658,24790,133,forward,SM_RS17440,SM_b20065
WP_010974988.1,NC_003078.1,CDS,24658,24790,133,forward,SM_RS17440,SM_b20065
SM_RS17445,NC_003078.1,gene,<24847,>24907,>61,forward,SM_RS17445,SM_b20066
WP_010974989.1,NC_003078.1,CDS,<24847,>24907,>61,forward,SM_RS17445,SM_b20066
SM_RS17450,NC_003078.1,gene,<24910,>25057,>148,reverse,SM_RS17450,SM_b20067
WP_041170054.1,NC_003078.1,CDS,<24910,>25057,>148,reverse,SM_RS17450,SM_b20067
SM_RS17455,NC_003078.1,gene,<25155,>25223,>69,forward,SM_RS17455,SM_b20068
WP_003527838.1,NC_003078.1,CDS,<25155,>25223,>69,forward,SM_RS17455,SM_b20068
SM_RS17460,NC_003078.1,gene,<25403,>25869,>467,forward,SM_RS17460,SM_b20069
WP_010974991.1,NC_003078.1,CDS,<25403,>25869,>467,forward,SM_RS17460,SM_b20069
SM_RS17465,NC_003078.1,gene,25957,26452,496,reverse,SM_RS17465,SM_b20070
WP_010974992.1,NC_003078.1,CDS,25957,26452,496,reverse,SM_RS17465,SM_b20070
SM_RS17470,NC_003078.1,gene,<26526,>26922,>397,reverse,SM_RS17470,SM_b20071
WP_010974993.1,NC_003078.1,CDS,<26526,>26922,>397,reverse,SM_RS17470,SM_b20071
SM_RS17475,NC_003078.1,gene,<27081,>27389,>309,reverse,SM_RS17475,SM_b20072
WP_010974994.1,NC_003078.1,CDS,<27081,>27389,>309,reverse,SM_RS17475,SM_b20072
SM_RS17480,NC_003078.1,gene,<27445,>27729,>285,reverse,SM_RS17480,SM_b20073
WP_010974995.1,NC_003078.1,CDS,<27445,>27729,>285,reverse,SM_RS17480,SM_b20073
SM_RS17485,NC_003078.1,gene,<27796,>27875,>80,forward,SM_RS17485,SM_b20074
WP_010974996.1,NC_003078.1,CDS,<27796,>27875,>80,forward,SM_RS17485,SM_b20074
SM_RS17490,NC_003078.1,gene,<27893,>27955,>63,forward,SM_RS17490,SM_b20075
WP_010974997.1,NC_003078.1,CDS,<27893,>27955,>63,forward,SM_RS17490,SM_b20075
SM_RS17495,NC_003078.1,gene,27989,28327,339,forward,SM_RS17495,SM_b20076
WP_010974998.1,NC_003078.1,CDS,27989,28327,339,forward,SM_RS17495,SM_b20076
SM_RS17500,NC_003078.1,gene,28361,28915,555,forward,SM_RS17500,SM_b20077
WP_010974999.1,NC_003078.1,CDS,28361,28915,555,forward,SM_RS17500,SM_b20077
SM_RS17505,NC_003078.1,gene,<28916,>29126,>211,forward,SM_RS17505,SM_b20078
WP_010975000.1,NC_003078.1,CDS,<28916,>29126,>211,forward,SM_RS17505,SM_b20078
SM_RS17510,NC_003078.1,gene,29405,30477,1073,forward,SM_RS17510,SM_b20079
WP_010975001.1,NC_003078.1,CDS,29405,30477,1073,forward,SM_RS17510,SM_b20079
SM_RS17515,NC_003078.1,gene,30516,30905,390,forward,SM_RS17515,SM_b20080
WP_010975002.1,NC_003078.1,CDS,30516,30905,390,forward,SM_RS17515,SM_b20080
SM_RS17520,NC_003078.1,gene,<30913,>31148,>236,reverse,SM_RS17520,SM_b20081
WP_010975003.1,NC_003078.1,CDS,<30913,>31148,>236,reverse,SM_RS17520,SM_b20081
SM_RS17525,NC_003078.1,gene,31148,31448,301,reverse,SM_RS17525,SM_b20082
WP_013850191.1,NC_003078.1,CDS,31148,31448,301,reverse,SM_RS17525,SM_b20082
SM_RS17530,NC_003078.1,gene,31518,31597,80,forward,SM_RS17530,SM_b20083
WP_003532132.1,NC_003078.1,CDS,31518,31597,80,forward,SM_RS17530,SM_b20083
SM_RS17535,NC_003078.1,gene,31635,31692,58,reverse,SM_RS17535,SM_b20084
WP_010975005.1,NC_003078.1,CDS,31635,31692,58,reverse,SM_RS17535,SM_b20084
SM_RS31350,NC_003078.1,gene,31710,31758,49,reverse,SM_RS31350,SM_b20085
WP_010975006.1,NC_003078.1,CDS,31710,31758,49,reverse,SM_RS31350,SM_b20085
SM_RS17540,NC_003078.1,gene,<31825,>31924,>100,forward,SM_RS17540,SM_b20086
WP_010975007.1,NC_003078.1,CDS,<31825,>31924,>100,forward,SM_RS17540,SM_b20086
SM_RS17545,NC_003078.1,gene,31933,32134,202,forward,SM_RS17545,SM_b20087
WP_010975008.1,NC_003078.1,CDS,31933,32134,202,forward,SM_RS17545,SM_b20087
SM_RS17550,NC_003078.1,gene,<32187,>32844,>658,forward,SM_RS17550,SM_b20088
WP_010975009.1,NC_003078.1,CDS,<32187,>32844,>658,forward,SM_RS17550,SM_b20088
SM_RS17555,NC_003078.1,gene,<32852,>32958,>107,reverse,SM_RS17555,SM_b20089
WP_003532141.1,NC_003078.1,CDS,<32852,>32958,>107,reverse,SM_RS17555,SM_b20089
SM_RS32400,NC_003078.1,gene,<32961,>33003,>43,reverse,SM_RS32400,SM_b20090
WP_013850188.1,NC_003078.1,CDS,<32961,>33003,>43,reverse,SM_RS32400,SM_b20090
SM_RS17560,NC_003078.1,gene,<33063,>33230,>168,forward,SM_RS17560,SM_b20091
WP_010975011.1,NC_003078.1,CDS,<33063,>33230,>168,forward,SM_RS17560,SM_b20091
SM_RS17565,NC_003078.1,gene,33260,33521,262,reverse,SM_RS17565,SM_b20092
WP_041170055.1,NC_003078.1,CDS,33260,33521,262,reverse,SM_RS17565,SM_b20092
SM_RS17570,NC_003078.1,gene,<33526,>33838,>313,forward,SM_RS17570,SM_b20093
WP_010975013.1,NC_003078.1,CDS,<33526,>33838,>313,forward,SM_RS17570,SM_b20093
SM_RS17575,NC_003078.1,gene,33804,34354,551,reverse,SM_RS17575,SM_b20094
WP_041170121.1,NC_003078.1,CDS,33804,34354,551,reverse,SM_RS17575,SM_b20094
SM_RS17580,NC_003078.1,gene,34403,35008,606,forward,SM_RS17580,SM_b20095
WP_010975015.1,NC_003078.1,CDS,34403,35008,606,forward,SM_RS17580,SM_b20095
SM_RS17585,NC_003078.1,gene,<35035,>35164,>130,forward,SM_RS17585,SM_b20096
WP_015456573.1,NC_003078.1,CDS,<35035,>35164,>130,forward,SM_RS17585,SM_b20096
SM_RS17590,NC_003078.1,gene,<35166,>35574,>409,forward,SM_RS17590,SM_b20097
WP_010975017.1,NC_003078.1,CDS,<35166,>35574,>409,forward,SM_RS17590,SM_b20097
SM_RS17595,NC_003078.1,gene,<35579,>35709,>131,forward,SM_RS17595,SM_b20098
WP_010975018.1,NC_003078.1,CDS,<35579,>35709,>131,forward,SM_RS17595,SM_b20098
SM_RS17600,NC_003078.1,gene,35709,36253,545,forward,SM_RS17600,SM_b20099
WP_010975019.1,NC_003078.1,CDS,35709,36253,545,forward,SM_RS17600,SM_b20099
SM_RS17605,NC_003078.1,gene,<36255,>36582,>328,forward,SM_RS17605,SM_b20100
WP_010975020.1,NC_003078.1,CDS,<36255,>36582,>328,forward,SM_RS17605,SM_b20100
lhgO,NC_003078.1,gene,<36615,>37029,>415,forward,SM_RS17610,SM_b20101
WP_041170056.1,NC_003078.1,CDS,<36615,>37029,>415,forward,SM_RS17610,SM_b20101
SM_RS17615,NC_003078.1,gene,<37060,>37686,>627,forward,SM_RS17615,SM_b20102
WP_010975022.1,NC_003078.1,CDS,<37060,>37686,>627,forward,SM_RS17615,SM_b20102
SM_RS17620,NC_003078.1,gene,<37759,>38358,>600,forward,SM_RS17620,SM_b20103
WP_010975023.1,NC_003078.1,CDS,<37759,>38358,>600,forward,SM_RS17620,SM_b20103
SM_RS17625,NC_003078.1,gene,<38385,>38636,>252,reverse,SM_RS17625,SM_b20104
WP_010975024.1,NC_003078.1,CDS,<38385,>38636,>252,reverse,SM_RS17625,SM_b20104
SM_RS17630,NC_003078.1,gene,<38672,>38905,>234,reverse,SM_RS17630,SM_b20105
WP_003532175.1,NC_003078.1,CDS,<38672,>38905,>234,reverse,SM_RS17630,SM_b20105
SM_RS17635,NC_003078.1,gene,38942,39185,244,forward,SM_RS17635,SM_b20106
WP_010975026.1,NC_003078.1,CDS,38942,39185,244,forward,SM_RS17635,SM_b20106
SM_RS17640,NC_003078.1,gene,<39204,>39526,>323,forward,SM_RS17640,SM_b20107
WP_041170057.1,NC_003078.1,CDS,<39204,>39526,>323,forward,SM_RS17640,SM_b20107
SM_RS17645,NC_003078.1,gene,<39569,>40070,>502,forward,SM_RS17645,SM_b20108
WP_010975028.1,NC_003078.1,CDS,<39569,>40070,>502,forward,SM_RS17645,SM_b20108
SM_RS17650,NC_003078.1,gene,<40096,>40402,>307,forward,SM_RS17650,SM_b20109
WP_010975029.1,NC_003078.1,CDS,<40096,>40402,>307,forward,SM_RS17650,SM_b20109
SM_RS17655,NC_003078.1,gene,40407,40717,311,forward,SM_RS17655,SM_b20110
WP_013850173.1,NC_003078.1,CDS,40407,40717,311,forward,SM_RS17655,SM_b20110
SM_RS17660,NC_003078.1,gene,<40717,>41262,>546,forward,SM_RS17660,SM_b20111
WP_010975031.1,NC_003078.1,CDS,<40717,>41262,>546,forward,SM_RS17660,SM_b20111
SM_RS17665,NC_003078.1,gene,<41263,>41557,>295,forward,SM_RS17665,SM_b20112
WP_010975032.1,NC_003078.1,CDS,<41263,>41557,>295,forward,SM_RS17665,SM_b20112
SM_RS17670,NC_003078.1,gene,<41571,>41880,>310,reverse,SM_RS17670,SM_b20113
WP_010975033.1,NC_003078.1,CDS,<41571,>41880,>310,reverse,SM_RS17670,SM_b20113
SM_RS17675,NC_003078.1,gene,41882,42123,242,reverse,SM_RS17675,SM_b20114
WP_010975034.1,NC_003078.1,CDS,41882,42123,242,reverse,SM_RS17675,SM_b20114
araD,NC_003078.1,gene,<42133,>42705,>573,reverse,SM_RS17680,SM_b20115
WP_010975035.1,NC_003078.1,CDS,<42133,>42705,>573,reverse,SM_RS17680,SM_b20115
SM_RS17685,NC_003078.1,gene,<42752,>43485,>734,reverse,SM_RS17685,SM_b20116
WP_010975036.1,NC_003078.1,CDS,<42752,>43485,>734,reverse,SM_RS17685,SM_b20116
SM_RS17690,NC_003078.1,gene,<43530,>43895,>366,reverse,SM_RS17690,SM_b20117
WP_010975037.1,NC_003078.1,CDS,<43530,>43895,>366,reverse,SM_RS17690,SM_b20117
SM_RS17700,NC_003078.1,gene,<44057,>44184,>128,reverse,SM_RS17700,SM_b20118
WP_013850168.1,NC_003078.1,CDS,<44057,>44184,>128,reverse,SM_RS17700,SM_b20118
CDS,NC_003078.1,CDS,44196,>44280,>85,reverse,SM_RS31840,SM_b20119
SM_RS31840,NC_003078.1,pseudogene,44196,>44280,>85,reverse,SM_RS31840,SM_b20119
SM_RS17715,NC_003078.1,gene,<44429,>44519,>91,reverse,SM_RS17715,SM_b20121
WP_010975041.1,NC_003078.1,CDS,<44429,>44519,>91,reverse,SM_RS17715,SM_b20121
SM_RS17725,NC_003078.1,gene,<44755,>45052,>298,reverse,SM_RS17725,SM_b20123
WP_010975043.1,NC_003078.1,CDS,<44755,>45052,>298,reverse,SM_RS17725,SM_b20123
SM_RS17730,NC_003078.1,gene,<45094,>45601,>508,reverse,SM_RS17730,SM_b20124
WP_010975044.1,NC_003078.1,CDS,<45094,>45601,>508,reverse,SM_RS17730,SM_b20124
SM_RS17735,NC_003078.1,gene,<45606,>45915,>310,reverse,SM_RS17735,SM_b20125
WP_003536791.1,NC_003078.1,CDS,<45606,>45915,>310,reverse,SM_RS17735,SM_b20125
SM_RS17740,NC_003078.1,gene,<45920,>46284,>365,reverse,SM_RS17740,SM_b20126
WP_010975045.1,NC_003078.1,CDS,<45920,>46284,>365,reverse,SM_RS17740,SM_b20126
SM_RS17745,NC_003078.1,gene,46336,46663,328,reverse,SM_RS17745,SM_b20127
WP_013850162.1,NC_003078.1,CDS,46336,46663,328,reverse,SM_RS17745,SM_b20127
SM_RS17750,NC_003078.1,gene,<46682,>47112,>431,reverse,SM_RS17750,SM_b20128
WP_028010728.1,NC_003078.1,CDS,<46682,>47112,>431,reverse,SM_RS17750,SM_b20128
SM_RS17755,NC_003078.1,gene,47269,47528,260,forward,SM_RS17755,SM_b20129
WP_010975048.1,NC_003078.1,CDS,47269,47528,260,forward,SM_RS17755,SM_b20129
SM_RS17760,NC_003078.1,gene,<47546,>47832,>287,forward,SM_RS17760,SM_b20130
WP_003532039.1,NC_003078.1,CDS,<47546,>47832,>287,forward,SM_RS17760,SM_b20130
SM_RS17765,NC_003078.1,gene,<47833,>47993,>161,forward,SM_RS17765,SM_b20131
WP_010975049.1,NC_003078.1,CDS,<47833,>47993,>161,forward,SM_RS17765,SM_b20131
SM_RS17770,NC_003078.1,gene,47993,48765,773,forward,SM_RS17770,SM_b20132
WP_010975050.1,NC_003078.1,CDS,47993,48765,773,forward,SM_RS17770,SM_b20132
SM_RS17775,NC_003078.1,gene,<48766,>49114,>349,forward,SM_RS17775,SM_b20133
WP_010975051.1,NC_003078.1,CDS,<48766,>49114,>349,forward,SM_RS17775,SM_b20133
SM_RS17780,NC_003078.1,gene,49183,49646,464,reverse,SM_RS17780,SM_b20134
WP_010975052.1,NC_003078.1,CDS,49183,49646,464,reverse,SM_RS17780,SM_b20134
SM_RS17785,NC_003078.1,gene,49673,49883,211,reverse,SM_RS17785,SM_b20135
WP_010975053.1,NC_003078.1,CDS,49673,49883,211,reverse,SM_RS17785,SM_b20135
SM_RS17790,NC_003078.1,gene,49894,50351,458,reverse,SM_RS17790,SM_b20136
WP_010975054.1,NC_003078.1,CDS,49894,50351,458,reverse,SM_RS17790,SM_b20136
SM_RS17795,NC_003078.1,gene,50399,50712,314,reverse,SM_RS17795,SM_b20137
WP_010975055.1,NC_003078.1,CDS,50399,50712,314,reverse,SM_RS17795,SM_b20137
SM_RS17800,NC_003078.1,gene,50726,51034,309,reverse,SM_RS17800,SM_b20138
WP_003532049.1,NC_003078.1,CDS,50726,51034,309,reverse,SM_RS17800,SM_b20138
SM_RS17805,NC_003078.1,gene,<51139,>51302,>164,forward,SM_RS17805,SM_b20139
WP_010975056.1,NC_003078.1,CDS,<51139,>51302,>164,forward,SM_RS17805,SM_b20139
SM_RS17810,NC_003078.1,gene,51310,51603,294,reverse,SM_RS17810,SM_b20140
WP_010975057.1,NC_003078.1,CDS,51310,51603,294,reverse,SM_RS17810,SM_b20140
SM_RS17815,NC_003078.1,gene,<51604,>52151,>548,reverse,SM_RS17815,SM_b20141
WP_010975058.1,NC_003078.1,CDS,<51604,>52151,>548,reverse,SM_RS17815,SM_b20141
SM_RS17820,NC_003078.1,gene,52150,52457,308,reverse,SM_RS17820,SM_b20142
WP_010975059.1,NC_003078.1,CDS,52150,52457,308,reverse,SM_RS17820,SM_b20142
SM_RS17825,NC_003078.1,gene,<52463,>52766,>304,reverse,SM_RS17825,SM_b20143
WP_003532054.1,NC_003078.1,CDS,<52463,>52766,>304,reverse,SM_RS17825,SM_b20143
SM_RS17830,NC_003078.1,gene,52796,53295,500,reverse,SM_RS17830,SM_b20144
WP_041170059.1,NC_003078.1,CDS,52796,53295,500,reverse,SM_RS17830,SM_b20144
SM_RS17835,NC_003078.1,gene,<53403,>53797,>395,forward,SM_RS17835,SM_b20145
WP_010975061.1,NC_003078.1,CDS,<53403,>53797,>395,forward,SM_RS17835,SM_b20145
pdxA,NC_003078.1,gene,<53799,>54119,>321,forward,SM_RS17840,SM_b20146
WP_003532057.1,NC_003078.1,CDS,<53799,>54119,>321,forward,SM_RS17840,SM_b20146
SM_RS17845,NC_003078.1,gene,54119,54487,369,forward,SM_RS17845,SM_b20147
WP_010975062.1,NC_003078.1,CDS,54119,54487,369,forward,SM_RS17845,SM_b20147
SM_RS17850,NC_003078.1,gene,<54563,>54795,>233,reverse,SM_RS17850,SM_b20148
WP_003532059.1,NC_003078.1,CDS,<54563,>54795,>233,reverse,SM_RS17850,SM_b20148
SM_RS17855,NC_003078.1,gene,<54798,>55140,>343,reverse,SM_RS17855,SM_b20149
WP_010975063.1,NC_003078.1,CDS,<54798,>55140,>343,reverse,SM_RS17855,SM_b20149
SM_RS17860,NC_003078.1,gene,<55248,>55526,>279,forward,SM_RS17860,SM_b20150
WP_010975064.1,NC_003078.1,CDS,<55248,>55526,>279,forward,SM_RS17860,SM_b20150
SM_RS17865,NC_003078.1,gene,55549,55754,206,forward,SM_RS17865,SM_b20151
WP_003532062.1,NC_003078.1,CDS,55549,55754,206,forward,SM_RS17865,SM_b20151
SM_RS17870,NC_003078.1,gene,<55753,>56324,>572,forward,SM_RS17870,SM_b20152
WP_010975065.1,NC_003078.1,CDS,<55753,>56324,>572,forward,SM_RS17870,SM_b20152
SM_RS17875,NC_003078.1,gene,<56354,>56900,>547,forward,SM_RS17875,SM_b20153
